,Symbol,Company Name,Industry,Market Cap
251,ALLK,Allakos,Biotechnology,3.95B
252,ALLO,Allogene Therapeutics,Biotechnology,2.57B
253,ALLT,Allot,Software,424.49M
254,ALLY,Ally Financial,Consumer Finance,16.85B
255,ALNA,Allena Pharmaceuticals,Biotechnology,51.92M
256,ALNY,Alnylam Pharmaceuticals,Biotechnology,20.77B
257,ALOT,AstroNova,"Technology Hardware, Storage & Periph...",107.29M
258,ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,187.63M
259,ALPN,Alpine Immune Sciences,Biotechnology,373.43M
260,ALPP,Alpine 4 Holdings,Metal Fabrication,456.42M
261,ALRM,Alarm.com Holdings,Software,4.01B
262,ALRN,Aileron Therapeutics,Biotechnology,53.10M
263,ALRS,Alerus Financial,Diversified Financial Services,512.29M
264,ALSN,Allison Transmission Holdings,Machinery,3.64B
265,ALT,Altimmune,Biotechnology,374.34M
266,ALTG,Alta Equipment Group,Trading Companies & Distributors,441.11M
267,ALTM,Altus Midstream Company,"Oil, Gas & Consumable Fuels",236.93M
268,ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",360.36M
269,ALTR,Altair Engineering,Software,5.76B
270,ALTU,Altitude Acquisition,Blank Check / SPAC,369.75M
271,ALV,Autoliv,Auto Components,9.02B
272,ALVR,AlloVir,Biotechnology,1.15B
273,ALX,Alexander's,Equity Real Estate Investment Trusts...,1.32B
274,ALXO,ALX Oncology Holdings,Biotechnology,1.26B
275,ALYA,Alithya Group,IT Services,212.06M
276,ALZN,Alzamend Neuro,Biotechnology,191.15M
277,AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4.56B
278,AMAL,Amalgamated Financial,Banks,519.32M
279,AMAM,Ambrx Biopharma,Biotechnology,320.54M
280,AMAO,American Acquisition Opportunity,Blank Check / SPAC,134.81M
281,AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,137.90B
282,AMBA,Ambarella,Semiconductors & Semiconductor Equipment,7.62B
283,AMBC,Ambac Financial Group,Insurance,709.38M
284,AMBO,Ambow Education Holding,Diversified Consumer Services,24.69M
285,AMBP,Ardagh Metal Packaging,Packaging & Containers,6.05B
286,AMC,AMC Entertainment Holdings,Entertainment,14.09B
287,AMCI,AMCI Acquisition II,Blank Check / SPAC,181.87M
288,AMCR,Amcor,Containers & Packaging,17.78B
289,AMCX,AMC Networks,Media,1.65B
290,AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,167.31B
291,AME,AMETEK,Electrical Equipment,33.02B
292,AMED,Amedisys,Health Care Providers & Services,5.24B
293,AMEH,Apollo Medical Holdings,Health Care Providers & Services,4.17B
294,AMG,Affiliated Managers Group,Capital Markets,6.72B
295,AMGN,Amgen,Biotechnology,118.79B
296,AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts...,13.86B
297,AMK,AssetMark Financial Holdings,Capital Markets,1.85B
298,AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5.72B
299,AMN,AMN Healthcare Services,Health Care Providers & Services,5.26B
300,AMNB,American National Bankshares,Banks,400.54M
301,AMOT,Allied Motion Technologies,Electrical Equipment,561.64M
302,AMOV,America Movil,Wireless Telecommunication Services,61.67B
303,AMP,Ameriprise Financial,Capital Markets,33.32B
304,AMPE,Ampio Pharmaceuticals,Pharmaceuticals,200.19M
305,AMPG,AmpliTech Group,Communication Equipment,33.82M
306,AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1.03B
307,AMPI,Advanced Merger Partners,Blank Check / SPAC,351.47M
308,AMPL,Amplitude,Software-Application,6.05B
309,AMPS,Altus Power,Shell Companies,0.00
310,AMPY,Amplify Energy,Oil & Gas E&P,118.25M
311,AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",922.23M
312,AMRC,Ameresco,Construction & Engineering,4.20B
313,AMRK,A-Mark Precious Metals,Diversified Financial Services,692.59M
314,AMRN,Amarin,Biotechnology,1.34B
315,AMRS,Amyris,Chemicals,1.83B
316,AMRX,Amneal Pharmaceuticals,Pharmaceuticals,603.46M
317,AMS,American Shared Hospital Services,Health Care Providers & Services,15.20M
318,AMSC,American Superconductor,Electrical Equipment,319.73M
319,AMSF,AMERISAFE,Insurance,1.01B
320,AMST,Amesite,Software-Application,26.60M
321,AMSWA,American Software,Software,790.88M
322,AMT,American Tower,Equity Real Estate Investment Trusts...,124.13B
323,AMTB,Amerant Bancorp,Banks,1.17B
324,AMTI,Applied Molecular Transport,Biotechnology,555.02M
325,AMTX,Aemetis,"Oil, Gas & Consumable Fuels",570.25M
326,AMWD,American Woodmark,Building Products,1.08B
327,AMWL,American Well,Health Information Services,1.62B
328,AMX,America Movil,Wireless Telecommunication Services,62.22B
329,AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,605.43M
330,AMZN,Amazon.com,Internet & Direct Marketing Retail,"1,746.74B"
331,AN,AutoNation,Specialty Retail,7.91B
332,ANAB,AnaptysBio,Biotechnology,825.24M
333,ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,386.22M
334,ANAT,American National Group,Insurance,5.07B
335,ANDE,The Andersons,Food & Staples Retailing,1.16B
336,ANEB,Anebulo Pharmaceuticals,Biotechnology,148.39M
337,ANET,Arista Networks,Communications Equipment,40.16B
338,ANF,Abercrombie & Fitch Company,Specialty Retail,2.00B
339,ANGI,Angi Inc.,Interactive Media & Services,4.80B
340,ANGN,Angion Biomedica,Biotechnology,78.19M
341,ANGO,AngioDynamics,Health Care Equipment & Supplies,980.56M
342,ANIK,Anika Therapeutics,Biotechnology,559.28M
343,ANIP,ANI Pharmaceuticals,Pharmaceuticals,623.08M
344,ANIX,Anixa Biosciences,Biotechnology,99.13M
345,ANNX,Annexon,Biotechnology,605.17M
346,ANPC,AnPac Bio-Medical Science Co.,Biotechnology,21.14M
347,ANSS,ANSYS,Software,34.77B
348,ANTE,AirNet Technology,Media,37.19M
349,ANTM,Anthem,Health Care Providers & Services,104.61B
350,ANVS,Annovis Bio,Biotechnology,170.44M
351,ANY,Sphere 3D,Software,245.83M
352,ANZU,Anzu Special Acquisition I,Blank Check / SPAC,521.16M
353,AOMR,Angel Oak Mortgage,REIT-Mortgage,424.82M
354,AON,Aon plc,Insurance,64.72B
355,AOS,A. O. Smith,Building Products,13.31B
356,AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1.43B
357,AOUT,American Outdoor Brands,Leisure Products,256.84M
358,AP,Ampco-Pittsburgh,Metals & Mining,96.61M
359,APA,APA Corporation,"Oil, Gas & Consumable Fuels",9.69B
360,APAC,Stonebridge Acquisition,Blank Check / SPAC,247.00M
361,APAM,Artisan Partners Asset Management,Capital Markets,3.53B
362,APD,Air Products & Chemicals,Chemicals,65.41B
363,APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",36.68M
364,APEI,American Public Education,Diversified Consumer Services,400.75M
365,APEN,Apollo Endosurgery,Health Care Equipment & Supplies,323.44M
366,APG,APi Group,Construction & Engineering,5.36B
367,APGB,Apollo Strategic Growth Capital II,Blank Check / SPAC,843.52M
368,APH,Amphenol,"Electronic Equipment, Instruments & C...",50.40B
369,API,Agora,"Electronic Equipment, Instruments & C...",2.16B
370,APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts...,3.57B
371,APLS,Apellis Pharmaceuticals,Biotechnology,4.08B
372,APLT,Applied Therapeutics,Biotechnology,256.65M
373,APM,Aptorum Group,Biotechnology,66.27M
374,APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,182.62M
375,APO,Apollo Global Management,Capital Markets,30.15B
376,APOG,Apogee Enterprises,Building Products,1.12B
377,APP,AppLovin,Software-Application,33.93B
378,APPF,AppFolio,Software,4.23B
379,APPH,AppHarvest,Farm Products,520.61M
380,APPN,Appian,Software,5.01B
381,APPS,Digital Turbine,Software,5.15B
382,APR,Apria,Medical Instruments & Supplies,1.11B
383,APRE,Aprea Therapeutics,Biotechnology,91.01M
384,APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,295.33M
385,APSG,Apollo Strategic Growth Capital,Shell Companies,1.01B
386,APT,Alpha Pro Tech,Building Products,67.09M
387,APTM,Alpha Partners Technology Merger,Blank Check / SPAC,310.89M
388,APTO,Aptose Biosciences,Biotechnology,178.55M
389,APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts...,741.25M
390,APTV,Aptiv,Auto Components,45.71B
391,APTX,Aptinyx,Biotechnology,185.54M
392,APVO,Aptevo Therapeutics,Biotechnology,38.06M
393,APWC,Asia Pacific Wire & Cable,Electrical Equipment,33.31M
394,APYX,Apyx Medical,Health Care Equipment & Supplies,457.80M
395,AQB,AquaBounty Technologies,Biotechnology,170.46M
396,AQMS,Aqua Metals,Commercial Services & Supplies,106.14M
397,AQN,Algonquin Power & Utilities,Multi-Utilities,9.37B
398,AQST,Aquestive Therapeutics,Pharmaceuticals,201.22M
399,AQUA,Evoqua Water Technologies,Machinery,5.58B
400,AR,Antero Resources,"Oil, Gas & Consumable Fuels",5.47B
401,ARAV,Aravive,Biotechnology,58.94M
402,ARAY,Accuray,Health Care Equipment & Supplies,448.23M
403,ARBE,Arbe Robotics,Software-Infrastructure,680.38M
404,ARBG,Aequi Acquisition,Blank Check / SPAC,281.75M
405,ARBK,Argo Blockchain,Capital Markets,649.17M
406,ARC,ARC Document Solutions,Commercial Services & Supplies,136.27M
407,ARCB,ArcBest,Road & Rail,2.76B
408,ARCC,Ares Capital,Capital Markets,9.56B
409,ARCE,Arco Platform,Diversified Consumer Services,1.29B
410,ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",1.30B
411,ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1.15B
412,ARCT,Arcturus Therapeutics Holdings,Biotechnology,911.28M
413,ARDS,Aridis Pharmaceuticals,Biotechnology,32.18M
414,ARDX,Ardelyx,Biotechnology,164.60M
415,ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts...,32.84B
416,AREC,American Resources,"Oil, Gas & Consumable Fuels",107.41M
417,ARES,Ares Management,Capital Markets,13.46B
418,ARGO,Argo Group International Holdings,Insurance,1.97B
419,ARGU,Argus Capital,Blank Check / SPAC,324.88M
420,ARGX,Argenx SE,Biotechnology,15.35B
421,ARHS,Arhaus,Home Improvement Retail,1.66B
422,ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trus...,1.88B
423,ARIS,Aris Water Solutions,Internet Software & Services,263.26M
424,ARKO,ARKO Corp.,Grocery Stores,1.15B
425,ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",61.90M
426,ARL,American Realty Investors,Real Estate Management & Development,181.71M
427,ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",761.22M
428,ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",1.29B
429,ARMK,Aramark,"Hotels, Restaurants & Leisure",9.17B
430,ARMP,Armata Pharmaceuticals,Biotechnology,134.35M
431,ARNA,Arena Pharmaceuticals,Biotechnology,3.06B
432,ARNC,Arconic,Aerospace & Defense,3.33B
433,AROC,Archrock,Energy Equipment & Services,1.14B
434,AROW,Arrow Financial,Banks,555.21M
435,ARQQ,Arqit Quantum,Software-Infrastructure,2.49B
436,ARQT,Arcutis Biotherapeutics,Biotechnology,770.02M
437,ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trus...,902.27M
438,ARRW,Arrowroot Acquisition,Blank Check / SPAC,350.03M
439,ARRY,Array Technologies,Solar,2.33B
440,ARTA,Artisan Acquisition,Blank Check / SPAC,433.91M
441,ARTE,Artemis Strategic Investment,Blank Check / SPAC,248.79M
442,ARTL,Artelo Biosciences,Pharmaceuticals,26.51M
443,ARTNA,Artesian Resources,Water Utilities,401.94M
444,ARTW,Art's-Way Manufacturing Co.,Machinery,15.55M
445,ARVL,Arrival,Auto Manufacturers,4.98B
446,ARVN,Arvinas,Pharmaceuticals,3.55B
447,ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",8.81B
448,ARWR,Arrowhead Pharmaceuticals,Biotechnology,7.32B
449,ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,190.31M
450,ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,187.45M
451,ASA,ASA Gold and Precious Metals,Capital Markets,389.46M
452,ASAI,Sendas Distribuidora,Food & Staples Retailing,3.55B
453,ASAN,Asana,Software,12.66B
454,ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,307.19M
455,ASAX,Astrea Acquisition,Blank Check / SPAC,218.61M
456,ASB,Associated Banc-Corp,Banks,3.37B
457,ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",139.17M
458,ASGN,ASGN Incorporated,Professional Services,6.60B
459,ASH,Ashland Global Holdings,Chemicals,5.97B
460,ASIX,AdvanSix,Chemicals,1.32B
461,ASLE,AerSale,Airports & Air Services,846.16M
462,ASLN,ASLAN Pharmaceuticals,Biotechnology,91.20M
463,ASM,Avino Silver & Gold Mines,Metals & Mining,82.42M
464,ASMB,Assembly Biosciences,Biotechnology,107.69M
465,ASML,ASML Holding,Semiconductors & Semiconductor Equipment,323.16B
466,ASND,Ascendis Pharma,Biotechnology,7.96B
467,ASO,Academy Sports and Outdoors,Specialty Retail,4.17B
468,ASPA,Abri SPAC I,Blank Check / SPAC,64.15M
469,ASPC,Alpha Capital Acquisition Company,Blank Check / SPAC,283.47M
470,ASPN,Aspen Aerogels,Energy Equipment & Services,1.85B
471,ASPS,Altisource Portfolio Solutions,Real Estate Management & Development,171.29M
472,ASPU,Aspen Group,Diversified Consumer Services,70.73M
473,ASR,Grupo Aeroportuario del Sureste,Transportation Infrastructure,5.94B
474,ASRT,Assertio Holdings,Pharmaceuticals,63.83M
475,ASRV,AmeriServ Financial,Banks,66.45M
476,ASTC,Astrotech,Aerospace & Defense,36.50M
477,ASTE,Astec Industries,Machinery,1.55B
478,ASTL,Algoma Steel Group,Steel,699.74M
479,ASTR,Astra Space,Aerospace & Defense,2.30B
480,ASTS,AST SpaceMobile,Telecom Services,450.57M
481,ASUR,Asure Software,Software,170.93M
482,ASX,ASE Technology Holding Company,Semiconductors & Semiconductor Equipment,15.93B
483,ASXC,Asensus Surgical,Medical Devices,292.99M
484,ASYS,Amtech Systems,Semiconductors & Semiconductor Equipment,139.66M
485,ASZ,Austerlitz Acquisition II,Blank Check / SPAC,1.93B
486,ATA,Americas Technology Acquisition,Blank Check / SPAC,146.31M
487,ATAI,ATAI Life Sciences,Biotechnology,1.74B
488,ATAQ,Altimar Acquisition III,Blank Check / SPAC,189.79M
489,ATAX,America First Multifamily Investors LP,Thrifts & Mortgage Finance,422.62M
490,ATC,Atotech,Electronic Components,4.83B
491,ATCO,Atlas,Marine,3.42B
492,ATCX,Atlas Technical Consultants,Engineering & Construction,274.98M
493,ATEC,Alphatec Holdings,Health Care Equipment & Supplies,1.16B
494,ATEN,A10 Networks,Software,1.21B
495,ATER,Aterian,Consumer Electronics,256.40M
496,ATEX,Anterix,Wireless Telecommunication Services,1.06B
497,ATGE,Adtalem Global Education,Diversified Consumer Services,1.50B
498,ATH,Athene Holding,Insurance,15.37B
499,ATHA,Athira Pharma,Biotechnology,506.11M
